Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Fix_Fade_Long,Outcome,Entry,SL,TP,Fix_Fade_Short
2012-05-16 18:00:00,0.0,1.59172,Yes,Long,1.0,Loss,1.59172,0,0,
2012-05-17 18:00:00,0.0,1.58108,Yes,Long,1.0,Win,1.58108,0,0,
2012-05-30 18:00:00,0.0,1.55315,Yes,Long,1.0,Loss,1.55315,0,0,
2012-05-31 18:00:00,0.0,1.53892,Yes,Long,1.0,Win,1.53892,0,0,
2012-07-04 18:00:00,54.5,1.55767,Yes,Long,1.0,Win,1.55767,0,0,
2012-07-12 18:00:00,50.0,1.54029,Yes,Long,1.0,Win,1.54029,0,0,
2012-07-23 18:00:00,77.4,1.55106,Yes,Long,1.0,Win,1.55106,0,0,
2012-07-26 18:00:00,25.0,1.56968,Yes,Short,,Win,1.56968,0,0,1.0
2012-09-11 18:00:00,67.3,1.60619,Yes,Short,,Loss,1.60619,0,0,1.0
2012-10-04 18:00:00,25.0,1.61641,Yes,Short,,Loss,1.61641,0,0,1.0
2012-10-08 18:00:00,25.0,1.60237,Yes,Long,1.0,Win,1.60237,0,0,
2012-10-23 18:00:00,27.2,1.59382,Yes,Long,1.0,Win,1.59382,0,0,
2012-10-24 18:00:00,0.0,1.60278,Yes,Short,,Loss,1.60278,0,0,1.0
2012-10-25 18:00:00,0.0,1.61393,Yes,Short,,Win,1.61393,0,0,1.0
2013-01-03 18:00:00,35.8,1.61487,Yes,Long,1.0,Loss,1.61487,0,0,
2013-01-08 18:00:00,50.0,1.60376,Yes,Long,1.0,Win,1.60376,0,0,
2013-01-10 18:00:00,0.0,1.61224,Yes,Short,,Loss,1.61224,0,0,1.0
2013-01-28 18:00:00,0.0,1.56837,Yes,Long,1.0,Win,1.56837,0,0,
2013-02-05 18:00:00,0.0,1.56483,Yes,Long,1.0,Win,1.56483,0,0,
2013-02-11 18:00:00,25.0,1.56659,Yes,Long,1.0,Loss,1.56659,0,0,
2013-02-13 18:00:00,0.0,1.55417,Yes,Long,1.0,Loss,1.55417,0,0,
2013-02-20 18:00:00,0.0,1.52978,Yes,Long,1.0,Loss,1.52978,0,0,
