Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,NY_Sweep_Asia_Low,Outcome,Entry,SL,TP,NY_Sweep_Asia_High
2015-07-31 16:00:00,1.3,1.56551,Yes,Short,,Win,1.56551,0,0,1.0
2015-08-03 15:00:00,34.5,1.55686,Yes,Long,1.0,Win,1.55686,0,0,
2015-08-04 18:00:00,34.7,1.55972,Yes,Long,1.0,Loss,1.55972,0,0,
2015-08-05 15:00:00,8.7,1.56299,Yes,Short,,Win,1.56299,0,0,1.0
2015-08-06 15:00:00,43.6,1.5491,Yes,Long,1.0,Win,1.5491,0,0,
2015-08-07 16:00:00,0.0,1.54731,Yes,Long,1.0,Win,1.54731,0,0,
2015-08-10 20:00:00,0.0,1.55939,Yes,Short,,Loss,1.55939,0,0,1.0
2015-08-11 15:00:00,50.0,1.55949,Yes,Short,,Win,1.55949,0,0,1.0
2015-08-12 16:00:00,25.0,1.56191,Yes,Short,,Win,1.56191,0,0,1.0
2015-08-13 16:00:00,25.0,1.56114,Yes,Long,1.0,Loss,1.56114,0,0,
2015-08-14 18:00:00,25.0,1.5607,Yes,Short,,Loss,1.5607,0,0,1.0
2015-08-17 19:00:00,59.8,1.55954,Yes,Long,1.0,Loss,1.55954,0,0,
2015-08-18 22:00:00,65.7,1.56633,Yes,Short,,Loss,1.56633,0,0,1.0
2015-08-19 16:00:00,49.2,1.56584,Yes,Long,1.0,Win,1.56584,0,0,
2015-08-20 21:00:00,62.4,1.56749,Yes,Long,1.0,Win,1.56749,0,0,
2015-08-21 20:00:00,61.2,1.57103,Yes,Short,,Win,1.57103,0,0,1.0
2015-08-24 17:00:00,82.7,1.57694,Yes,Short,,Win,1.57694,0,0,1.0
2015-08-25 22:00:00,59.4,1.56838,Yes,Long,1.0,Win,1.56838,0,0,
2015-08-27 18:00:00,0.4,1.53724,Yes,Long,1.0,Win,1.53724,0,0,
2015-08-31 21:00:00,0.0,1.53413,Yes,Long,1.0,Win,1.53413,0,0,
2015-09-01 18:00:00,25.0,1.5325,Yes,Long,1.0,Loss,1.5325,0,0,
2015-09-02 20:00:00,0.0,1.53104,Yes,Short,,Win,1.53104,0,0,1.0
2015-09-03 18:00:00,25.0,1.52276,Yes,Long,1.0,Win,1.52276,0,0,
2015-09-04 16:00:00,25.0,1.51989,Yes,Short,,Win,1.51989,0,0,1.0
2015-09-07 19:00:00,25.0,1.52795,Yes,Short,,Win,1.52795,0,0,1.0
2015-09-08 15:00:00,25.0,1.54002,Yes,Short,,Win,1.54002,0,0,1.0
2015-09-09 21:00:00,25.0,1.53621,Yes,Long,1.0,Loss,1.53621,0,0,
2015-09-10 19:00:00,0.0,1.5457,Yes,Short,,Win,1.5457,0,0,1.0
2015-09-14 15:00:00,65.7,1.5408,Yes,Long,1.0,Win,1.5408,0,0,
2015-09-15 21:00:00,31.5,1.53331,Yes,Long,1.0,Win,1.53331,0,0,
2015-09-16 18:00:00,27.1,1.5515,Yes,Short,,Win,1.5515,0,0,1.0
2015-09-17 22:00:00,82.8,1.56095,Yes,Short,,Win,1.56095,0,0,1.0
2015-09-18 23:00:00,83.6,1.5525,Yes,Long,1.0,Win,1.5525,0,0,
2015-09-21 16:00:00,81.7,1.55354,Yes,Short,,Win,1.55354,0,0,1.0
2015-09-22 18:00:00,27.2,1.53435,Yes,Long,1.0,Win,1.53435,0,0,
2015-09-23 17:00:00,6.8,1.5258,Yes,Long,1.0,Loss,1.5258,0,0,
