Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Judas_Long,Outcome,Entry,SL,TP,Judas_Short
2015-06-02 11:00:00,0.0,1.51829,Yes,Short,,Loss,1.51829,1.52279,1.50929,1.0
2015-06-02 12:00:00,0.0,1.52411,Yes,Long,1.0,Win,1.52411,1.51794,1.53645,
2015-06-03 10:00:00,50.0,1.53542,Yes,Short,,Win,1.53542,1.53749,1.53128,1.0
2015-06-04 10:00:00,50.0,1.53143,Yes,Short,,Loss,1.53143,1.5336,1.52709,1.0
2015-06-04 11:00:00,50.0,1.53321,Yes,Long,1.0,Win,1.53321,1.53042,1.53879,
2015-06-08 12:00:00,25.0,1.52303,Yes,Short,,Loss,1.52303,1.53052,1.50805,1.0
2015-06-09 10:00:00,25.0,1.53439,Yes,Short,,Win,1.53439,1.53746,1.52825,1.0
2015-06-11 16:00:00,68.5,1.54945,Yes,Long,1.0,Win,1.54945,1.54212,1.56411,
2015-06-15 10:00:00,84.1,1.55405,Yes,Long,1.0,Loss,1.55405,1.55235,1.55805,
2015-06-15 16:00:00,84.1,1.55299,Yes,Long,1.0,Win,1.55299,1.54875,1.56147,
2015-06-16 11:00:00,83.7,1.55939,Yes,Short,,Loss,1.55939,1.56319,1.55179,1.0
2015-06-16 15:00:00,84.8,1.5625,Yes,Long,1.0,Win,1.5625,1.55417,1.57916,
2015-06-17 10:00:00,89.3,1.56448,Yes,Long,1.0,Win,1.56448,1.56256,1.56848,
2015-06-22 11:00:00,71.5,1.58546,Yes,Short,,Win,1.58546,1.59098,1.57442,1.0
2015-06-23 12:00:00,94.0,1.57909,Yes,Long,1.0,Loss,1.57909,1.57635,1.58457,
2015-06-24 14:00:00,60.5,1.5755,Yes,Short,,Win,1.5755,1.58025,1.566,1.0
2015-06-25 12:00:00,24.9,1.56941,Yes,Short,,Loss,1.56941,1.57251,1.56321,1.0
2015-06-29 10:00:00,27.6,1.57025,Yes,Short,,Loss,1.57025,1.57438,1.56199,1.0
2015-06-29 17:00:00,0.2,1.57141,Yes,Short,,Loss,1.57141,1.57513,1.56397,1.0
2015-06-30 12:00:00,50.0,1.57206,Yes,Long,1.0,Loss,1.57206,1.56927,1.57764,
2015-07-01 12:00:00,25.0,1.56638,Yes,Short,,Win,1.56638,1.57317,1.5528,1.0
2015-07-02 12:00:00,0.0,1.56034,Yes,Long,1.0,Loss,1.56034,1.55816,1.5647,
2015-07-02 16:00:00,0.0,1.56128,Yes,Long,1.0,Loss,1.56128,1.55629,1.57126,
2015-07-06 10:00:00,25.0,1.55529,Yes,Short,,Loss,1.55529,1.55972,1.54643,1.0
2015-07-08 10:00:00,0.0,1.54287,Yes,Short,,Win,1.54287,1.54667,1.53527,1.0
2015-07-09 10:00:00,0.0,1.54002,Yes,Short,,Win,1.54002,1.54206,1.53594,1.0
2015-07-13 11:00:00,50.0,1.5515,Yes,Short,,Loss,1.5515,1.55528,1.54394,1.0
2015-07-14 13:00:00,50.0,1.55823,Yes,Long,1.0,Loss,1.55823,1.54506,1.58457,
2015-07-15 12:00:00,25.0,1.56409,Yes,Short,,Win,1.56409,1.56754,1.55719,1.0
2015-07-16 11:00:00,50.1,1.56183,Yes,Short,,Loss,1.56183,1.56501,1.55547,1.0
2015-07-20 11:00:00,45.4,1.56044,Yes,Short,,Win,1.56044,1.56273,1.55586,1.0
2015-07-21 11:00:00,33.5,1.55687,Yes,Short,,Loss,1.55687,1.5583,1.55287,1.0
2015-07-21 13:00:00,33.5,1.55553,Yes,Short,,Loss,1.55553,1.55906,1.54847,1.0
2015-07-23 12:00:00,68.4,1.5595,Yes,Short,,Loss,1.5595,1.56707,1.54436,1.0
2015-07-27 10:00:00,0.0,1.5526,Yes,Long,1.0,Loss,1.5526,1.55134,1.5566,
2015-07-27 12:00:00,0.0,1.5524,Yes,Long,1.0,Win,1.5524,1.54904,1.55912,
2015-07-28 10:00:00,50.0,1.55592,Yes,Short,,Loss,1.55592,1.55796,1.55184,1.0
2015-07-28 12:00:00,50.0,1.55826,Yes,Long,1.0,Loss,1.55826,1.55279,1.5692,
2015-07-29 12:00:00,50.0,1.56171,Yes,Long,1.0,Win,1.56171,1.55877,1.56759,
2015-07-30 10:00:00,50.0,1.56038,Yes,Long,1.0,Loss,1.56038,1.55886,1.56438,
2015-08-03 12:00:00,32.6,1.56222,Yes,Short,,Win,1.56222,1.56447,1.55772,1.0
2015-08-04 10:00:00,35.1,1.5602,Yes,Short,,Loss,1.5602,1.56179,1.5562,1.0
2015-08-04 17:00:00,34.7,1.56041,Yes,Short,,Loss,1.56041,1.56278,1.55567,1.0
2015-08-06 11:00:00,43.9,1.5598,Yes,Short,,Win,1.5598,1.56367,1.55206,1.0
2015-08-10 11:00:00,0.0,1.54784,Yes,Short,,Loss,1.54784,1.55064,1.54224,1.0
2015-08-11 11:00:00,50.0,1.56045,Yes,Long,1.0,Loss,1.56045,1.55552,1.57031,
2015-08-12 12:00:00,50.0,1.55722,Yes,Short,,Loss,1.55722,1.56045,1.55076,1.0
2015-08-13 16:00:00,25.0,1.56114,Yes,Short,,Loss,1.56114,1.56367,1.55608,1.0
2015-08-17 11:00:00,55.8,1.56528,Yes,Short,,Win,1.56528,1.5688,1.55824,1.0
2015-08-18 11:00:00,63.2,1.55874,Yes,Long,1.0,Win,1.55874,1.55623,1.56376,
2015-08-19 13:00:00,46.3,1.56684,Yes,Short,,Loss,1.56684,1.5697,1.56112,1.0
2015-08-24 11:00:00,85.2,1.56687,Yes,Long,1.0,Win,1.56687,1.56303,1.57455,
2015-08-25 17:00:00,59.5,1.57591,Yes,Short,,Win,1.57591,1.5794,1.56893,1.0
2015-08-27 13:00:00,2.1,1.54895,Yes,Long,1.0,Loss,1.54895,1.54708,1.55295,
2015-08-31 10:00:00,0.0,1.54193,Yes,Short,,Win,1.54193,1.54368,1.53793,1.0
2015-09-01 13:00:00,25.0,1.53536,Yes,Long,1.0,Loss,1.53536,1.53099,1.5441,
2015-09-02 11:00:00,0.0,1.52991,Yes,Long,1.0,Loss,1.52991,1.52721,1.53531,
2015-09-02 18:00:00,0.0,1.52925,Yes,Long,1.0,Loss,1.52925,1.52699,1.53377,
2015-09-08 11:00:00,25.0,1.53476,Yes,Short,,Loss,1.53476,1.53884,1.5266,1.0
2015-09-09 11:00:00,50.0,1.53825,Yes,Long,1.0,Loss,1.53825,1.53686,1.54225,
2015-09-09 17:00:00,25.0,1.53826,Yes,Long,1.0,Loss,1.53826,1.53499,1.5448,
