UA_Time,Trigger_Direction,HTF_Bullish_Prob_%,Close_Price,In_4h_Bear_FVG,1h_Bearish_Flip,In_4h_Bull_FVG,1h_Bullish_Flip
2022-07-06 12:00:00,Short,0.0,1.19594,1.0,1.0,,
2022-07-08 16:00:00,Short,25.0,1.19862,1.0,1.0,,
2022-07-20 16:00:00,Long,50.0,1.19833,,,1.0,1.0
2022-07-29 14:00:00,Long,85.7,1.21826,,,1.0,1.0
2022-07-29 18:00:00,Long,85.4,1.2162,,,1.0,1.0
2022-08-02 13:00:00,Long,65.3,1.22177,,,1.0,1.0
2022-08-04 15:00:00,Short,33.8,1.20855,1.0,1.0,,
2022-08-25 18:00:00,Long,50.0,1.18252,,,1.0,1.0
2022-09-06 18:00:00,Long,0.0,1.15278,,,1.0,1.0
2022-09-07 12:00:00,Short,50.0,1.14956,1.0,1.0,,
2022-09-30 16:00:00,Long,50.0,1.1068,,,1.0,1.0
2022-10-18 11:00:00,Long,50.0,1.13547,,,1.0,1.0
2022-10-24 03:00:00,Long,19.9,1.13351,,,1.0,1.0
2022-11-15 11:00:00,Short,51.4,1.18228,1.0,1.0,,
2022-11-22 15:00:00,Short,28.7,1.18761,1.0,1.0,,
2022-12-15 11:00:00,Long,64.4,1.23387,,,1.0,1.0
2022-12-29 12:00:00,Short,50.0,1.20348,1.0,1.0,,
2023-01-10 15:00:00,Long,26.8,1.21367,,,1.0,1.0
2023-02-01 17:00:00,Short,25.0,1.23248,1.0,1.0,,
2023-03-28 14:00:00,Long,81.6,1.23117,,,1.0,1.0
2023-04-20 11:00:00,Short,50.0,1.24212,1.0,1.0,,
2023-04-24 11:00:00,Long,0.0,1.24367,,,1.0,1.0
2023-05-09 20:00:00,Short,61.8,1.26108,1.0,1.0,,
2023-05-16 11:00:00,Long,0.0,1.25138,,,1.0,1.0
2023-06-29 12:00:00,Short,0.0,1.26457,1.0,1.0,,
2023-06-30 10:00:00,Short,0.0,1.26177,1.0,1.0,,
2023-07-03 12:00:00,Long,50.0,1.267,,,1.0,1.0
