Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Swept_AL_Into_FVG,1h_Bullish_Flip,Outcome,Entry,SL,TP,Swept_AH_Into_FVG,1h_Bearish_Flip
2005-05-11 10:00:00,25.0,1.8859,Yes,Short,,,Loss,1.8859,1.8879,1.8819,1.0,1.0
2005-05-16 10:00:00,0.0,1.8437,Yes,Short,,,Win,1.8437,1.8457,1.8397,1.0,1.0
2005-05-17 10:00:00,0.0,1.8364,Yes,Short,,,Loss,1.8364,1.8384,1.8324,1.0,1.0
2005-05-17 11:00:00,0.0,1.8378,Yes,Short,,,Loss,1.8378,1.8398,1.8338,1.0,1.0
2005-05-20 15:00:00,50.0,1.8365,Yes,Short,,,Win,1.8365,1.8385,1.8325,1.0,1.0
2005-05-24 18:00:00,25.0,1.8288,Yes,Short,,,Loss,1.8288,1.8308,1.8248,1.0,1.0
2005-06-04 00:00:00,25.0,1.8143,Yes,Long,1.0,1.0,Win,1.8143,1.8123,1.8183,,
2005-06-06 01:00:00,25.0,1.8138,Yes,Long,1.0,1.0,Win,1.8138,1.8118,1.8178,,
2005-06-10 12:00:00,6.7,1.8243,Yes,Short,,,Loss,1.8243,1.8263,1.8203,1.0,1.0
2005-06-10 13:00:00,6.7,1.8261,Yes,Short,,,Win,1.8261,1.8281,1.8221,1.0,1.0
2005-06-17 11:00:00,50.0,1.8246,Yes,Long,1.0,1.0,Loss,1.8246,1.8226,1.8286,,
2005-06-20 10:00:00,50.0,1.8266,Yes,Short,,,Loss,1.8266,1.8286,1.8226,1.0,1.0
2005-06-22 12:00:00,29.5,1.823,Yes,Short,,,Win,1.823,1.825,1.819,1.0,1.0
2005-06-29 10:00:00,50.1,1.8151,Yes,Short,,,Win,1.8151,1.8171,1.8111,1.0,1.0
2005-06-30 11:00:00,0.0,1.8047,Yes,Short,,,Win,1.8047,1.8067,1.8007,1.0,1.0
2005-07-04 13:00:00,25.0,1.7586,Yes,Short,,,Loss,1.7586,1.7606,1.7546,1.0,1.0
2005-07-18 10:00:00,27.8,1.7518,Yes,Short,,,Win,1.7518,1.7538,1.7478,1.0,1.0
2005-07-22 14:00:00,25.0,1.7486,Yes,Short,,,Loss,1.7486,1.7506,1.7446,1.0,1.0
2005-07-22 15:00:00,25.0,1.75,Yes,Short,,,Win,1.75,1.752,1.746,1.0,1.0
2005-07-26 18:00:00,0.0,1.7419,Yes,Long,1.0,1.0,Loss,1.7419,1.7399,1.7459,,
2005-07-26 19:00:00,0.0,1.7401,Yes,Long,1.0,1.0,Loss,1.7401,1.7381,1.7441,,
2005-07-29 11:00:00,50.0,1.7541,Yes,Long,1.0,1.0,Loss,1.7541,1.7521,1.7581,,
2005-07-29 16:00:00,50.0,1.7582,Yes,Long,1.0,1.0,Loss,1.7582,1.7562,1.7622,,
2005-08-09 22:00:00,94.2,1.7865,Yes,Long,1.0,1.0,Win,1.7865,1.7845,1.7905,,
2005-08-15 22:00:00,68.9,1.8121,Yes,Long,1.0,1.0,Loss,1.8121,1.8101,1.8161,,
2005-08-18 15:00:00,62.6,1.8031,Yes,Short,,,Win,1.8031,1.8051,1.7991,1.0,1.0
2005-08-19 13:00:00,23.7,1.7961,Yes,Short,,,Win,1.7961,1.7981,1.7921,1.0,1.0
