Datetime_Kyiv,Direction,Entry_Price,Asian_Box_Long,Outcome,Hold_Bars,Asian_Box_Short
2021-02-05 11:00:00,Long,1.36902,1.0,Win,8,
2021-02-08 11:00:00,Short,1.37064,,Loss,8,1.0
2021-05-19 12:00:00,Short,1.41821,,Win,8,1.0
2021-06-25 12:00:00,Short,1.39109,,Win,8,1.0
2021-06-29 12:00:00,Short,1.38363,,Loss,8,1.0
2021-06-30 12:00:00,Short,1.38342,,Win,8,1.0
2021-07-19 12:00:00,Short,1.37115,,Win,8,1.0
2021-07-27 12:00:00,Short,1.37791,,Loss,8,1.0
2021-08-03 12:00:00,Long,1.39128,1.0,Win,8,
2021-08-11 12:00:00,Short,1.38089,,Loss,8,1.0
2021-08-12 12:00:00,Long,1.38624,1.0,Loss,8,
2021-09-02 12:00:00,Long,1.3786,1.0,Win,8,
2021-09-03 12:00:00,Short,1.38346,,Loss,8,1.0
2021-11-10 11:00:00,Short,1.3535,,Win,8,1.0
2021-11-22 11:00:00,Short,1.34279,,Win,8,1.0
2021-11-24 11:00:00,Short,1.33543,,Win,8,1.0
2021-12-06 11:00:00,Long,1.3259,1.0,Loss,8,
2021-12-31 11:00:00,Long,1.35092,1.0,Win,8,
2022-01-05 11:00:00,Long,1.35316,1.0,Win,8,
2022-02-15 11:00:00,Long,1.35512,1.0,Loss,8,
2022-06-21 12:00:00,Long,1.2309,1.0,Loss,8,
