Datetime,Profile_Type,Close_Price,Price_ZScore
2015-09-10 12:00:00-04:00,Bearish Setup Detected,1.54382,2.5522208127492543
2015-09-10 13:00:00-04:00,Bearish Setup Detected,1.54605,3.079844863928831
2015-09-10 14:00:00-04:00,Bearish Setup Detected,1.54673,2.9580064476636525
2015-09-14 10:00:00-04:00,Bullish Setup Detected,1.53806,-3.033935330153651
2015-09-15 09:00:00-04:00,Bullish Setup Detected,1.53808,-2.622153684157825
2015-09-15 10:00:00-04:00,Bullish Setup Detected,1.53567,-3.403532794498031
2015-09-15 11:00:00-04:00,Bullish Setup Detected,1.53505,-3.219868340620214
2015-09-15 12:00:00-04:00,Bullish Setup Detected,1.53547,-2.774997212145738
2015-09-15 13:00:00-04:00,Bullish Setup Detected,1.53331,-3.177997055033622
2015-09-15 14:00:00-04:00,Bullish Setup Detected,1.53298,-2.9261416010782515
2015-09-16 10:00:00-04:00,Bearish Setup Detected,1.5515,2.7265155000715544
2015-09-22 09:00:00-04:00,Bullish Setup Detected,1.53939,-2.897442419692594
2015-09-22 10:00:00-04:00,Bullish Setup Detected,1.53435,-3.6791856880066653
2015-09-22 11:00:00-04:00,Bullish Setup Detected,1.53555,-3.1247809960440227
2015-09-22 12:00:00-04:00,Bullish Setup Detected,1.53724,-2.5639189096369304
2015-09-25 07:00:00-04:00,Bullish Setup Detected,1.5162,-3.27743855135518
2015-09-25 10:00:00-04:00,Bullish Setup Detected,1.51735,-2.5986401641408983
2015-09-25 11:00:00-04:00,Bullish Setup Detected,1.51702,-2.5007443016172313
2015-09-30 11:00:00-04:00,Bullish Setup Detected,1.51141,-2.9367027126513023
2015-10-02 08:00:00-04:00,Bearish Setup Detected,1.52256,4.431929531193469
2015-10-02 09:00:00-04:00,Bearish Setup Detected,1.52005,2.905083104397761
2015-10-02 10:00:00-04:00,Bearish Setup Detected,1.52004,2.7128892010913432
2015-10-02 11:00:00-04:00,Bearish Setup Detected,1.5215,3.062598222552816
2015-10-07 04:00:00-04:00,Bearish Setup Detected,1.52991,2.578181798773758
2015-10-07 06:00:00-04:00,Bearish Setup Detected,1.53129,2.5312525770879017
2015-10-13 04:00:00-04:00,Bullish Setup Detected,1.5243,-4.176741295672147
2015-10-13 05:00:00-04:00,Bullish Setup Detected,1.52471,-3.4393202894256394
2015-10-13 06:00:00-04:00,Bullish Setup Detected,1.52432,-3.156649156482454
2015-10-13 07:00:00-04:00,Bullish Setup Detected,1.52372,-2.998532613450952
2015-10-13 08:00:00-04:00,Bullish Setup Detected,1.52186,-3.149848921437807
2015-10-13 09:00:00-04:00,Bullish Setup Detected,1.52147,-2.902336683250159
2015-10-21 13:00:00-04:00,Bullish Setup Detected,1.5414,-2.537501297299511
2015-10-22 12:00:00-04:00,Bullish Setup Detected,1.53857,-2.629030607691897
2015-10-23 09:00:00-04:00,Bullish Setup Detected,1.53464,-2.5518944245624406
2015-10-23 13:00:00-04:00,Bullish Setup Detected,1.53188,-2.705737364730073
2015-10-28 14:00:00-04:00,Bullish Setup Detected,1.52497,-2.8885511513835223
2015-10-30 10:00:00-04:00,Bearish Setup Detected,1.53901,2.638840714001688
2015-10-30 11:00:00-04:00,Bearish Setup Detected,1.54424,3.5130988539525885
2015-10-30 12:00:00-04:00,Bearish Setup Detected,1.54609,3.41269455866492
2015-10-30 13:00:00-04:00,Bearish Setup Detected,1.54461,2.7803881872209795
2015-11-04 12:00:00-05:00,Bullish Setup Detected,1.53692,-2.5395527426019635
